gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,,HEAT,4.0,2,Iván Moreno,Chile,10.7 (10.76),,,"Winnipeg, Canada",,
Men,,HEAT,1.0,4,Iván Moreno,Chile,10.4 (10.49),,,"Winnipeg, Canada",,
Men,100 METRES,FINAL,,6,Iván Moreno,Chile,10.5 (10.58),,30 Jul,"Winnipeg, Canada",,
Men,100 METRES,HEAT,1.0,3,Iván Moreno,Chile,21.1 (21.17),,30 Jul,"Winnipeg, Canada",,
Men,100 METRES,HEAT,1.0,5,Iván Moreno,Chile,21.1 (21.13),,30 Jul,"Winnipeg, Canada",,
Men,400 METRES,HEAT,2.0,5,Jorge Grosser Castillo,Chile,1:55.4 (1:55.46),,30 Jul,"Winnipeg, Canada",,
Men,800 METRES,HEAT,2.0,4,Jorge Grosser Castillo,Chile,3:52.3 (3:52.30),,2 Aug,"Winnipeg, Canada",,
Men,"1,500 METRES",FINAL,,7,Jorge Grosser Castillo,Chile,3:48.0 (3:48.01),,5 Aug,"Winnipeg, Canada",,
Men,110 METRES HURDLES,HEAT,2.0,3,Santiago Gordon,Chile,52.3 (52.36),,4 Aug,"Winnipeg, Canada",,
Men,400 METRES HURDLES,FINAL,,6,Santiago Gordon,Chile,52.8 (52.86),,1 Aug,"Winnipeg, Canada",,
Men,4x100 METRES RELAY,FINAL,,7,Cristian Errazuriz Chile,Cristian Errazuriz Chile,1.95m,,5 Aug,"Winnipeg, Canada",,
Men,4x100 METRES RELAY,FINAL,,4,Jorge Pe,Jorge Peñ a Chile,69.68m,,5 Aug,"Winnipeg, Canada",,
Men,4x100 METRES RELAY,FINAL,,10,Patricio Etcheverry Chile,Patricio Etcheverry Chile,61.44m,,5 Aug,"Winnipeg, Canada",,
