gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,,HEAT,2,6,Javier Widoycovich,Chile,10.99,,,"Indianapolis, USA",,
Men,,HEAT,3,3,Carlos Moreno Lira,Chile,10.40,,,"Indianapolis, USA",,
Men,,HEAT,2,7,Carlos Moreno Lira,Chile,10.37,,,"Indianapolis, USA",,
Men,100 METRES,HEAT,3,5,Carlos Moreno Lira,Chile,21.82,,10 Aug,"Indianapolis, USA",,
Men,200 METRES,HEAT,2,7,Carlos Moreno Lira,Chile,21.78,,13 Aug,"Indianapolis, USA",,
Men,400 METRES,HEAT,1,2,Manuel Balmaceda Olavarriete,Chile,1:49.14,,12 Aug,"Indianapolis, USA",,
Men,400 METRES,HEAT,2,3,Pablo Squella Serr ano,Chile,1:49.13,,12 Aug,"Indianapolis, USA",,
Men,800 METRES,HEAT,1,4,Manuel Balmaceda Olavarriete,Chile,1:48.87,,15 Aug,"Indianapolis, USA",,
Men,800 METRES,HEAT,2,2,Pablo Squella Serrano,Chile,1:48.21,,15 Aug,"Indianapolis, USA",,
Men,800 METRES,FINAL,,5,Pablo Squella Serrano,Chile,1:48.39,,16 Aug,"Indianapolis, USA",,
Men,800 METRES,FINAL,,8,Manuel Balmaceda Olavarriete,Chile,1:51.77,,16 Aug,"Indianapolis, USA",,
Men,800 METRES,FINAL,,3,Omar Aguilar Cardenas,Chile,13:47.86,,16 Aug,"Indianapolis, USA",,
Men,800 METRES,FINAL,,4,Omar Aguilar Cardenas,Chile,29:06.48,,16 Aug,"Indianapolis, USA",,
Men,800 METRES,FINAL,,4,George Biehl,Chile,14.89,,16 Aug,"Indianapolis, USA",,
Men,800 METRES,HEAT,1,4,Pablo Squella Serra no,Chile,50.65,,16 Aug,"Indianapolis, USA",,
Men,400 METRES HURDLES,FINAL,,5,Pablo Squella Serrano,Chile,50.17,,12 Aug,"Indianapolis, USA",,
Men,3.000 METRES STEEPLECHASE,FINAL,,4,Emilio Ulloa Valenzuela,Chile,8:37.80,,12 Aug,"Indianapolis, USA",,
Men,SHOT PUT,FINAL,,1,Gert Weil Wiesenborn,Chile,20.21m,,12 Aug,"Indianapolis, USA",,
Men,DECATHLON,FINAL,,6,George Biehl,Chile,6.361,,12 Aug,"Indianapolis, USA",,
