gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,100 METRES,HEAT,1.0,6,Kael Becerra,Chile,10.49,,24 Oct,"Guadalajara, Mexico",,
Men,200 METRES,HEAT,1.0,4,Kael Becerra,Chile,21.04,,25 Oct,"Guadalajara, Mexico",,
Men,200 METRES,HEAT,5.0,5,Cristian Reyes,Chile,20.83,,25 Oct,"Guadalajara, Mexico",,
Men,200 METRES,HEAT,1.0,4,Cristian Reyes,Chile,20.65,,25 Oct,"Guadalajara, Mexico",,
Men,200 METRES,HEAT,2.0,7,Kael Becerra,Chile,21.23,,25 Oct,"Guadalajara, Mexico",,
Men,200 METRES,FINAL,,8,Cristian Reyes,Chile,20.97,,27 Oct,"Guadalajara, Mexico",,
Men,"1,500 METRES",FINAL,,8,Ivan López,Chile,3:56.53,,26 Oct,"Guadalajara, Mexico",,
Men,"1,500 METRES",FINAL,,10,Leslie Encina,Chile,3:56.69,,26 Oct,"Guadalajara, Mexico",,
Men,3.000 METRES STEEPLECHASE,FINAL,,9,Enzo Yáñez,Chile,9:07.63,,27 Oct,"Guadalajara, Mexico",,
Men,50KM WALK,FINAL,,12,Michael Mannozzi,USA,4:41:33,did-not-compete,28 Oct,"Guadalajara, Mexico","Yerko Araya (CHI) Disqualified; Caio Bonfim (BRA) Disqualified; Allan Segura (CRC) Disqualified; Moacir Zimmermann (BRA) Disqualified; Cristian Chocho (ECU) Disqualified",
Men,LONG JUMP,FINAL,,2,Daniel Pineda,Chile,7.97m (-1.0),,29 Oct,"Guadalajara, Mexico",,
