gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (23 Jul ),,,,,"Rio de Janeiro, Brazil",
Men,,HEAT,1,1,Churandy Martina,Netherland Antilles,10.15,,,"Rio de Janeiro, Brazil",
Men,,HEAT,1,2,Jenris ‘ Henry ’ Vizcaino Montelier,Cuba,10.18,,,"Rio de Janeiro, Brazil",
Men,,HEAT,1,3,Kim Collins St.Kitts -Nevis,,10.30,,,"Rio de Janeiro, Brazil",
Men,,HEAT,1,4,Rafael Ribeiro,Brazil,10.39,,,"Rio de Janeiro, Brazil",
Men,,HEAT,1,5,Xavier Brown,Jamaica,10.50,,,"Rio de Janeiro, Brazil",
Men,,HEAT,1,6,Adrian Griffith,Bahamas,10.56,,,"Rio de Janeiro, Brazil",
Men,,HEAT,1,7,Nicolas L ópez Moreira,Paraguay,42.08,,,"Rio de Janeiro, Brazil",
Men,,HEAT,2,1,Brendan Christian,Antigua and Barbuda,10.34,,,"Rio de Janeiro, Brazil",
Men,,HEAT,2,2,Anson Henry,Canada,10.37,,,"Rio de Janeiro, Brazil",
Men,,HEAT,2,3,J-Mee Samuels,USA,10.41,,,"Rio de Janeiro, Brazil",
Men,,HEAT,2,4,Yoan Fri as,Cuba,10.56,,,"Rio de Janeiro, Brazil",
Men,,HEAT,2,5,Yoel Baez Vicioso,Dominican Republic,10.99,,,"Rio de Janeiro, Brazil",
Men,,HEAT,2,6,Jose Garaventa,Argentina,11.09,,,"Rio de Janeiro, Brazil",
Men,,HEAT,2,7,Richard Thompson,Trinidad and Tobago,12.06,,,"Rio de Janeiro, Brazil",
Men,,HEAT,3,1,Darvis Patton,USA,10.35,,,"Rio de Janeiro, Brazil",
Men,,HEAT,3,2,Franklin Nazareno Macias,Ecuador,10.39,,,"Rio de Janeiro, Brazil",
Men,,HEAT,3,3,Delwayne Dela ney St.Kitts -Nevis,,10.47,,,"Rio de Janeiro, Brazil",
Men,,HEAT,3,4,Brian Mariano,Netherland Antilles,10.56,,,"Rio de Janeiro, Brazil",
Men,,HEAT,3,5,Lionel Jones,Belize,10.94,,,"Rio de Janeiro, Brazil",
Men,,HEAT,3,6,Jurgen Themen,Surinam,11.13,,,"Rio de Janeiro, Brazil",
Men,,HEAT,4,1,Keston Bledman,Trinidad and Tobago,10.19,,,"Rio de Janeiro, Brazil",
Men,,HEAT,4,2,Vicente Lenilso n de Lima,Brazil,10.23,,,"Rio de Janeiro, Brazil",
Men,,HEAT,4,3,Kael Becerra,Chile,10.32,,,"Rio de Janeiro, Brazil",
Men,,HEAT,4,4,Rolando Palacios,Honduras,10.38,,,"Rio de Janeiro, Brazil",
Men,,HEAT,4,5,Daniel Bailey,Antigua and Barbuda,10.46,,,"Rio de Janeiro, Brazil",
Men,,HEAT,4,6,Jorge Solorzano Arreo,Guatemala,10.63,,,"Rio de Janeiro, Brazil",
