gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES ( 6 Aug),,,,,"Lima, Peru",
Men,,HEAT,1,1,Cejhae Greene,Antigua and Barbuda,10.31,,,"Lima, Peru",
Men,,HEAT,1,2,Cravon Gillespie,USA,10.32,,,"Lima, Peru",
Men,,HEAT,1,3,Jason Rogers,St.Kitts-Nevis,10.36,,,"Lima, Peru",
Men,,HEAT,1,4,Keston Bledman,Trinidad and Tobago,10.40,,,"Lima, Peru",
Men,,HEAT,1,5,Oshane Bailey,Jamaica,10.43,,,"Lima, Peru",
Men,,HEAT,1,=6,Reynier Mena Berenguer,Cuba,10.43,,,"Lima, Peru",
Men,,HEAT,1,=6,Jhonny Renteria Jim énez,Colombia,10.43,,,"Lima, Peru",
Men,,HEAT,1,8,Mobolade Ajomale,Canada,10.54,,,"Lima, Peru",
Men,,HEAT,2,1,Rodrigo Pereira do Nascimento,Brazil,10.27,,,"Lima, Peru",
Men,,HEAT,2,2,Michael Rodgers,USA,10.29,,,"Lima, Peru",
Men,,HEAT,2,3,Kemar Hyman Cayman Island s,,10.44,,,"Lima, Peru",
Men,,HEAT,2,4,Emanuel Archibald,Guyana,10.60,,,"Lima, Peru",
Men,,HEAT,2,5,Mayovanex de Oleo M éndez,Dominican Republic,10.61,,,"Lima, Peru",
Men,,HEAT,2,6,Warren Fraser,Bahamas,10.62,,,"Lima, Peru",
Men,,HEAT,2,7,Enrique Polanco Valdés,Chile,10.69,,,"Lima, Peru",
Men,,HEAT,3,1,Paulo André de Oliveira,Brazil,10.29,,,"Lima, Peru",
Men,,HEAT,3,2,Rasheed Dwyer,Jamaica,10.32,,,"Lima, Peru",
Men,,HEAT,3,3,Gavin Smellie,Canada,10.43,,,"Lima, Peru",
Men,,HEAT,3,4,Mario Burke,Barbados,10.46,,,"Lima, Peru",
Men,,HEAT,3,5,Christopher V áldez Guzm án,Dominican Republic,10.51,,,"Lima, Peru",
Men,,HEAT,3,6,Akanni Hislop,Trinidad and Tobago,10.60,,,"Lima, Peru",
Men,,HEAT,3,7,Diego Palomeque Echavarri,Colombia,10.65,,,"Lima, Peru",
Men,,HEAT,3,8,Andy Martinez Chiroque,Peru,10.81,,,"Lima, Peru",
Men,,non-participants,,,Samson Colebrooke Bahamas,,,non-participant,,"Lima, Peru",
Men,,non-participants,,,Alex Qui ñonez Martinez Ecuador,,,non-participant,,"Lima, Peru",
Men,,non-participants,,,Senoj-Jay Givans Jamaica,,,non-participant,,"Lima, Peru",
Men,,non-participants,,,Kyle Greaux Trinidad and Tobago,,,non-participant,,"Lima, Peru",
Men,100 METRES,FINAL,,1,Michael Rodgers,USA,10.09,,7 Aug,"Lima, Peru",
Men,100 METRES,FINAL,,2,Paulo Andr é de Oliveira,Brazil,10.16,,7 Aug,"Lima, Peru",
Men,100 METRES,FINAL,,3,Cejhae Greene,Antigua and Barbuda,10.23,,7 Aug,"Lima, Peru",
Men,100 METRES,FINAL,,4,Rodrigo Pereira do Nascimento,Brazil,10.27,,7 Aug,"Lima, Peru",
Men,100 METRES,FINAL,,5,Rasheed Dwyer,Jamaica,10.32,,7 Aug,"Lima, Peru",
Men,100 METRES,FINAL,,6,Cravon Gillespie,USA,10.38,,7 Aug,"Lima, Peru",
Men,100 METRES,FINAL,,7,Jason Rogers,St.Kitts-Nevis,10.40,,7 Aug,"Lima, Peru",
Men,100 METRES,FINAL,,8,Keston Bledman,Trinidad and Tobago,10.43,,7 Aug,"Lima, Peru",
Men,200 METRES,HEAT,1,1,Alex Quiñonez Martinez,Ecuador,20.41,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,1,2,Yancarlos Martinez Martinez,Dominican Republic,20.45,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,1,3,Jereem Richards,Trinidad and Tobago,20.48,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,1,4,Julian Forte,Jamaica,21.18,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,1,5,Brandon Parris,St.Vincent and the Grenadines,21.47,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,1,6,Cliff Resias,Bahamas,21.74,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,2,1,Reynier Mena Berenguer,Cuba,20.56,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,2,2,Jerome Blake,Canada,20.63,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,2,3,Andre Ewers,Jamaica,20.69,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,2,4,Jorge da Costa Vides,Brazil,20.80,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,2,5,Hector Allen,Costa Rica,21.79,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,3,1,Alonso Edward,Panama,20.65,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,3,2,Roberto Skyers Pérez,Cuba,20.66,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,3,3,Brendon Rodney,Canada,20.74,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,3,4,Derick de Souza Silva,Brazil,20.76,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,3,5,Kyle Greaux,Trinidad and Tobago,22.71,,8 Aug,"Lima, Peru",
Men,200 METRES,HEAT,3,6,Andrew Hudson,USA,42.96,,8 Aug,"Lima, Peru",
Men,200 METRES,non-participants,,,Steven Gardiner Bahamas,,,non-participant,8 Aug,"Lima, Peru",
Men,200 METRES,non-participants,,,Mario Burke Barbados,,,non-participant,8 Aug,"Lima, Peru",
Men,200 METRES,non-participants,,,Paulo André de Oliveira Brazil,,,non-participant,8 Aug,"Lima, Peru",
Men,200 METRES,non-participants,,,Gabriel Oliveira Constantino Brazil,,,non-participant,8 Aug,"Lima, Peru",
Men,200 METRES,non-participants,,,Lidio Feliz Dominican Republic,,,non-participant,8 Aug,"Lima, Peru",
Men,200 METRES,non-participants,,,Wins ton George Guyana,,,non-participant,8 Aug,"Lima, Peru",
Men,200 METRES,non-participants,,,Rasheed Dwyer Jamaica,,,non-participant,8 Aug,"Lima, Peru",
Men,200 METRES,non-participants,,,Kenny Bednarek USA,,,non-participant,8 Aug,"Lima, Peru",
Men,200 METRES,FINAL,,1,Alex Quiñonez Martinez,Ecuador,20.27,,9 Aug,"Lima, Peru",
Men,200 METRES,FINAL,,2,Jereem Richards,Trinidad and Tobago,20.38,,9 Aug,"Lima, Peru",
Men,200 METRES,FINAL,,3,Yancarlos Martinez Martinez,Dominican Republic,20.44,,9 Aug,"Lima, Peru",
Men,200 METRES,FINAL,,4,Alonso Edward,Panama,20.55,,9 Aug,"Lima, Peru",
Men,200 METRES,FINAL,,5,Reynier Mena Berenguer,Cuba,20.62,,9 Aug,"Lima, Peru",
Men,200 METRES,FINAL,,6,Jerome Blake,Canada,20.66,,9 Aug,"Lima, Peru",
Men,200 METRES,FINAL,,7,Roberto Skyers Pérez,Cuba,20.67,,9 Aug,"Lima, Peru",
Men,200 METRES,FINAL,,8,Andre Ewers,Jamaica,20.91,,9 Aug,"Lima, Peru",
Men,400 METRES,HEAT,1,1,Jhon Perlaza Zapata,Colombia,45.21,,7 Aug,"Lima, Peru",
Men,400 METRES,HEAT,1,2,Justin Robinson,USA,45.38,,7 Aug,"Lima, Peru",
Men,400 METRES,HEAT,1,3,Jonathan Jones,Barbados,45.60,,7 Aug,"Lima, Peru",
