gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (23 Aug ),,,,,"Caracas, Venezuela",
Men,,HEAT,1,1,Ben Johnson,Canada,10.49,,,"Caracas, Venezuela",
Men,,HEAT,1,2,Sam Graddy,USA,10.50,,,"Caracas, Venezuela",
Men,,HEAT,1,3,Raymond Stewart,Jamaica,10.55,,,"Caracas, Venezuela",
Men,,HEAT,1,4,Wilfredo Almonte,Dominican Republic,10.68,,,"Caracas, Venezuela",
Men,,HEAT,1,5,Luis Schneider Zuanich,Chile,11.01,,,"Caracas, Venezuela",
Men,,HEAT,1,6,Katsuhiko Nakai a,Brazil,12.93,,,"Caracas, Venezuela",
Men,,HEAT,2,1,Leandro Pe ñalver Gonzalez,Cuba,10.41,,,"Caracas, Venezuela",
Men,,HEAT,2,2,Juan Nu ñez Lima,Dominican Republic,10.51,disqualified,,"Caracas, Venezuela",
Men,,HEAT,2,3,Nelson Rocha dos Santos,Brazil,10.62,,,"Caracas, Venezuela",
Men,,HEAT,2,4,Hipolito Timothy Brown Vene zuela,,10.68,,,"Caracas, Venezuela",
Men,,HEAT,2,5,Everard Samuels,Jamaica,10.71,,,"Caracas, Venezuela",
Men,,HEAT,2,6,Calvin Greenaway,Antigua and Barbuda,11.14,,,"Caracas, Venezuela",
Men,,HEAT,3,1,Osvaldo Lara Canizares,Cuba,10.41,,,"Caracas, Venezuela",
Men,,HEAT,3,2,Desai Williams,Canada,10.58,,,"Caracas, Venezuela",
Men,,HEAT,3,3,Chris Brathwaite,Trinidad and Tobago,10.58,,,"Caracas, Venezuela",
Men,,HEAT,3,4,Ken Robinson,USA,10.69,,,"Caracas, Venezuela",
Men,,HEAT,3,5,Neville Hodge Gom ez Virgin Is lands,,10.73,,,"Caracas, Venezuela",
Men,,HEAT,3,6,Florencio Aguilar Mejia,Panama,10.81,,,"Caracas, Venezuela",
Men,,HEAT,3,7,Angel Andrade,Venezuela,10.90,,,"Caracas, Venezuela",
Men,100 METRES,HEAT,1,1,Leandro Pe ñalver Gonzalez,Cuba,10.16,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,1,2,Sam Graddy,USA,10.30,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,1,3,Raymond Stewart,Jamaica,10.31,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,1,4,Desai Willia ms,Canada,10.34,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,1,5,Nelson Rocha dos Santos,Brazil,10.43,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,1,6,Wilfredo Almonte,Dominican Republic,10.57,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,1,7,Neville Hodge Gomez,Virgin Islands,10.73,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,1,8,Florencio Aguilar Mejia,Panama,10.74,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,2,1,Ben Johnson,Canada,10.32,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,2,2,Osvaldo L ara Canizare s,Cuba,10.35,,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,2,3,Juan N uñez Lima,Dominican Republic,10.52,disqualified,23 Aug,"Caracas, Venezuela",
Men,100 METRES,HEAT,2,4,Chris Brathwaite,Trinidad and Tobago,10.53,,23 Aug,"Caracas, Venezuela",
