gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (5 Aug ),,,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,1,Mickey Grimes,USA,10.08,disqualified,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,2,Michael Frater,Jamaica,10.34,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,3,Churandy Martina,Netherland Antilles,10.42,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,4,Bruce Swan,Grenada,10.45,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,5,Delwayne De laney St.Kitts -Nevis,,10.51,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,6,Diego Ferreira,Paraguay,10.64,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,7,Xavier James,Bermuda,10.83,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,1,Anson Henry,Canada,10.45,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,2,Rolando Blanco Nolberto,Guatemala,10.53,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,3,Alexander Reyes,Cuba,10.55,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,4,Jacey Harper,Trinidad and Tobago,10.57,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,5,Derrick Atkins,Bahamas,10.59,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,6,Jayson Jones,Belize,10.82,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,7,Azik Graham,St.Vincent and the Grenadines,11.05,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,3,1,Sheldon Morant,Jamaica,10.30,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,3,2,Marcelle Scales,USA,10.35,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,3,3,Edson Luciano Ribeiro,Brazil,10.37,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,3,4,Daniel Bailey Antigua and B arbuda,,10.53,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,3,5,Danis Garcia,Dominican Republic,10.58,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,3,6,John Smith,Dominican Republic,10.69,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,3,7,Wladimir Afriani,Haiti,10.83,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,3,8,Andres Gallegos,Ecuador,11.22,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,4,1,Niconnor Alexander,Trinidad and Tobago,10.45,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,4,2,Jarbas Mascarenhas Jun ior,Brazil,10.52,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,4,3,Juan Pita,Cuba,10.65,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,4,4,Jamal Rolle,Bahamas,10.84,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,4,5,Donnell Esdaille St.Kitts -Nevis,,10.90,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,4,6,Luis Moran,Ecuador,10.96,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,4,7,Stephane Rabel,Haiti,11.18,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,1,Mickey Grimes,USA,10.20,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,2,Edson Luciano Ribeiro,Brazil,10.39,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,3,Michael Frater,Jamaica,10.39,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,4,Niconner Alexander,Trinidad and Tobago,10.42,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,5,Juan Pita,Cuba,10.56,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,6,Jacey Harper,Trinidad and Tobago,10.63,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,7,Rolando Blanco Nolberto,Guatemala,10.64,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,1,8,Bruce Swan,Grenada,10.79,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,1,Marcelle Scales,USA,10.20,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,2,Jarbas Mascarenhas Jun ior,Brazil,10.57,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,3,Anson Henry,Canada,10.60,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,4,Sheldon Morant,Jamaica,10.61,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,5,Alexander Reyes,Cuba,10.61,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,6,Churandy Martina,Netherland Antilles,10.62,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,7,Delwayne Delaney St.Kitts -Nevis,,10.74,,,"Santo Domingo, Dominican Republic",
Men,,HEAT,2,8,Daniel Bailey,Antigua and Barbuda,10.74,,,"Santo Domingo, Dominican Republic",
Men,100 METRES,FINAL,,1,Michael Frater,Jamaica,10.21,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,FINAL,,2,Marcelle Scales,USA,10.22,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,FINAL,,3,Anson Henry,Canada,10.30,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,FINAL,,4,Edson Luciano Ribeiro,Brazil,10.31,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,FINAL,,5,Jarbas Mascarenhas Jun ior,Brazil,10.34,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,FINAL,,6,Sheldo n Morant,Jamaica,10.36,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,FINAL,,7,Niconner Alexande r,Trinidad and Tobago,10.42,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,1,1,Andr é Domingos da Silva,Brazil,20.83,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,1,2,Erick Wilson,USA,21.10,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,1,3,Danis Garcia Dominican Re public,,21.22,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,1,4,Jairo Duzant Netherland Ant illes,,21.31,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,1,5,Rogelio Pizarro,Paraguay,21.39,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,1,6,Rolando Blanco Nolberto,Guatemala,21.56,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,1,7,Jayson Jones,Belize,21.80,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,1,8,Wladimir Afraini,Haiti,21.98,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,2,1,Kenny Brokenburr,USA,20.66,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,2,2,José Peña,Cuba,21.03,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,2,3,Adrian Durant,Virgin Islands,21.19,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,2,4,Claudinei Quirino da Silva,Brazil,21.22,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,2,5,Bruce Swan,Grenada,21.38,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,2,6,Xavier James,Bermuda,21.65,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,3,1,Clement Campbell,Jamaica,21.00,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,3,2,Heber Viera,Uruguay,21.10,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,3,3,Kevin Arthurton St.Kitts -Nevis,,21.12,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,3,4,Sherwin James,Dominica,21.20,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,3,5,Juan Toledo Dominguez,Mexico,21.41,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,3,6,Troy McIntosh,Bahamas,21.56,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,3,7,Diego Ferreira,Paraguay,21.89,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,3,8,Luis Mor án,Ecuador,22.58,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,4,1,Chris Williams,Jamaica,20.90,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,4,2,Jamial Rolle,Bahamas,21.10,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,4,3,Julien Raeburn,Trinidad and Tobago,21.13,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,4,4,Keita Cline,British Virgin Islands,21.25,,6 Aug,"Santo Domingo, Dominican Republic",
Men,100 METRES,HEAT,4,5,Daniel Bailey,Antigua and Barbuda,21.26,,6 Aug,"Santo Domingo, Dominican Republic",
