gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (27 Apr) ),,,,,"Sao Paulo, Brazil",
Men,,HEAT,1,1,Ollan Cassell,USA,10.5 (10.70),,,"Sao Paulo, Brazil",
Men,,HEAT,1,2,Gerardo di Tolla Barraza,Peru,10.6 (10.76),,,"Sao Paulo, Brazil",
Men,,HEAT,1,3,Jorge Derieux,Puerto Rico,10.8 (10.94),,,"Sao Paulo, Brazil",
Men,,HEAT,1,4,Miguel Angel Gonz ález,Mexico,10.9 (10.95),,,"Sao Paulo, Brazil",
Men,,HEAT,1,5,Jaime Frasser,Ecuador,11.0 (11.00),,,"Sao Paulo, Brazil",
Men,,HEAT,2,1,Arquimedes Herrera,Venezuela,10.2 (10.32),,,"Sao Paulo, Brazil",
Men,,HEAT,2,2,Ira Murchison,USA,10.5 (10.53),,,"Sao Paulo, Brazil",
Men,,HEAT,2,3,Irving Joseph,Trinidad and Tobago,10.5 (10.57),,,"Sao Paulo, Brazil",
Men,,HEAT,2,4,Alfonso Coelho da Silva,Brazil,10.6 (10.64),,,"Sao Paulo, Brazil",
Men,,HEAT,2,5,Manuel Rivera Guevara,Puerto Rico,10.9 (10.96),,,"Sao Paulo, Brazil",
Men,,HEAT,3,1,Enrique Figuerola Camue,Cuba,10.4 (10.58),,,"Sao Paulo, Brazil",
Men,,HEAT,3,2,Horacio Estevez Orihuela,Venezuela,10.5 (10.65),,,"Sao Paulo, Brazil",
Men,,HEAT,3,3,Cipriani Phillips,Trinidad and Tobago,10.5 (10.66),,,"Sao Paulo, Brazil",
Men,100 METRES,FINAL,,1,Enrique Figuer ola Camue,Cuba,10.3 (10.46),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,FINAL,,2,Arquimedes Herrera,Venezuela,10.4 (10.59),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,FINAL,,3,Ira Murchison,USA,10.5 (10.62),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,FINAL,,4,Horacio Estevez Orihuela,Venezuela,10.6 (10.64),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,FINAL,,5,Gerardo di Tolla Barraza,Peru,10.7 (10.73),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,FINAL,,6,Ollan Cassell,USA,10.7 (10.79),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,FINAL,,200,METRES ( 30 Apr ),,,,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,1,1,Clifton Bertrand,Trinidad and Tobago,21.2 (21.44),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,1,2,Gerardo di Tolla Barraza,Peru,21.2 (21.50),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,1,3,Brooks Johnson,USA,21.7 (21.76),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,1,4,Joel Hipolito da Costa,Brazil,21.7 (21.82),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,1,5,Didier Mejia Esquivel,Mexico,22.2 (22.25),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,2,1,Arquimedes Herrera,Venezuela,21.3,,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,2,2,Ollan Cassell,USA,21.3,,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,2,3,Irving Joseph,Trinidad and Tobago,21.7,,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,2,4,Miguel Angel Gonz ález,Mexico,22.2,,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,3,1,Rafael Romero Sandrea,Venezuela,21.6 (21.66),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,3,2,Manuel Rivera Guevara,Puerto Rico,21.8 (21.99),,28 Apr,"Sao Paulo, Brazil",
Men,100 METRES,HEAT,3,3,Jauro Koga,Brazil,22.1 (22.36),,28 Apr,"Sao Paulo, Brazil",
Men,200 METRES,FINAL,,1,Rafael Romero Sandrea,Venezuela,21.2 (21.23),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,FINAL,,2,Ollan Cassell,USA,21.2 (21.23),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,FINAL,,3,Arquimedes Herrera,Venezuela,21.2 (21.23),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,FINAL,,4,Gerardo di Tolla Barraza,Peru,21.5 (21.58),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,FINAL,,5,Clifton Bertrand,Trinidad and Tobago,21.6 (21.62),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,FINAL,,6,Manuel Rivera Guevara,Puerto Rico,22.0,,1 May,"Sao Paulo, Brazil",
Men,200 METRES,HEAT,1,1,Hortensio Fucil Herrera,Venezuela,47.4 (47.41),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,HEAT,1,2,Earl Young,USA,47.8 (47.85),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,HEAT,1,3,Geraldo Sebastiã o Costa,Brazil,50.1 (50.12),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,HEAT,1,4,Victor Hugo Gadea,Uruguay,50.2 (50.19),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,HEAT,2,1,James Johnson,USA,48.7 (48.85),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,HEAT,2,2,Clifton Bertrand,Trinidad and Tobago,48.9 (49.06),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,HEAT,2,3,Peter Ostermeyer,Brazil,49.8 (49.95),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,HEAT,3,1,Melville Spence,Jamaica,49.5 (49.54),,1 May,"Sao Paulo, Brazil",
Men,200 METRES,HEAT,3,2,Didier Mejia Esquivel,Mexico,54.6 (54.75),,1 May,"Sao Paulo, Brazil",
Men,400 METRES,FINAL,,1,James Johnson,USA,46.7 (46.80),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,FINAL,,2,Melville Spence,Jamaica,46.8 (46.94),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,FINAL,,3,Clifton Bertrand,Trinidad and Tobago,47.3 (47.43),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,FINAL,,4,Didier Mejia Esquivel,Mexico,48.2 (48.28),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,FINAL,,5,Hortensio Fucil Herrera,Venezuela,48.5 (48.58),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,FINAL,,800,METRES (30/4),,,,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,1,1,Ernie Cunliffe,USA,1:53.0 (1:53.05),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,1,2,Leslie Mentor Maxwell,Venezuela,1:53.1 (1:53.19),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,1,3,José dos Santos Sobrinho,Brazil,1:54.4 (1:54.43),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,2,1,Don Bertoia,Canada,1:51.6 (1:51.59),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,2,2,Bill Dotson,USA,1:52.2 (1:52.34),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,2,3,Casper Springer,Barbados,1:52.7 (1:52.62),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,2,4,Alejandro Arroyo,Ecuador,1:53.1 (1:53.14),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,2,5,Victor Hugo Gadea,Uruguay,1:59.7 (1:59.78),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,3,1,Siegmar Ohlemann,Canada,1:55.0 (1:55.00),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,3,2,Paulo Siqueira de Araujo,Brazil,1:55.3 (1:55.27),,28 Apr,"Sao Paulo, Brazil",
Men,400 METRES,HEAT,3,3,Carver King,Trinidad and Tobago,1:57.3,,28 Apr,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,1,Don Bertoia,Canada,1:48.3 (1:48.46),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,2,Siegmar Ohlemann,Canada,1:48.7 (1:48.63),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,3,Ernie Cunliffe,USA,1:48.8 (1:48.92),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,4,Paulo Siqueira de Araujo,Brazil,1:52.7 (1:52.82),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,5,Bill Dotson,USA,1:57.3 (1:57.40),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,1,Jim Grelle,USA,3:43.5 (3:43.62),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,2,Jim Beatty,USA,3:43.6 (3:43.88),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,3,Don Bertoia,Canada,3:55.0 (3:55.19),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,4,José dos Santos Primo,Brazil,3:56.5 (3:56.69),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,5,Alejandro Arroyo,Ecuador,4:00.3 (4:00.37),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,6,Albertino Etchechurry,Uruguay,4:02.0 (4:02.18),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,7,Jeffrey Payne Bermuda (,,4:14.42,,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,8,José Manuel Luna Mexico (,,4:16.21,,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,5,000 METRES (27 Apr ),,,,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,1,Osváldo Suarez,Argentina,14:25.9 (14:25.81),,1 May,"Sao Paulo, Brazil",
Men,800 METRES,FINAL,,2,Charles Clark,USA,14:27.2 (14:27.16),,1 May,"Sao Paulo, Brazil",
