gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (13 Mar ),,,,,"Mexico City, Mexico",
Men,,HEAT,1,1,Dean Smith,USA,10.6 (10.84),,,"Mexico City, Mexico",
Men,,HEAT,1,2,Ciro Brazeiro,Uruguay,11.2 (11.27),,,"Mexico City, Mexico",
Men,,HEAT,1,3,Tom Robinson,Bahamas,11.2 (11.32),,,"Mexico City, Mexico",
Men,,HEAT,1,4,Alexis Bloem Netherland Antilles (,,11.44,,,"Mexico City, Mexico",
Men,,HEAT,2,1,Harry N elson,Canada,10.7 (10.88),,,"Mexico City, Mexico",
Men,,HEAT,2,2,Rafael Fort ún Chacon,Cuba,10.8 (10.91),,,"Mexico City, Mexico",
Men,,HEAT,2,3,Domingo Garcia,Dominican Republic,11.0 (11.20),,,"Mexico City, Mexico",
Men,,HEAT,2,4,Javier Sousa Diaz Mexico (,,11.28,,,"Mexico City, Mexico",
Men,,HEAT,2,5,Antonio Vanegas Colombia (,,11.63,,,"Mexico City, Mexico",
Men,,HEAT,3,1,Willie Williams,USA,10.6 (10.80),,,"Mexico City, Mexico",
Men,,HEAT,3,2,René Ahumada Rodr iguez,Mexico,10.8 (10.91),,,"Mexico City, Mexico",
Men,,HEAT,3,3,Apolinar Solorzano Bustamante,Venezuela,11.4 (11.07),,,"Mexico City, Mexico",
Men,,HEAT,3,4,Franz Lara Costa Rica (,,11.30,,,"Mexico City, Mexico",
Men,,HEAT,4,1,Mike Agostini,Trinidad and Tobago,10.5 (10.67),,,"Mexico City, Mexico",
Men,,HEAT,4,2,Bruce Springbett Canada (,,11.04,,,"Mexico City, Mexico",
Men,,HEAT,4,3,Raúl Zabala Rodriguez Argentina (,,11.21,,,"Mexico City, Mexico",
Men,,HEAT,4,4,Carlos Vera Guardia Chile (,,11.32,,,"Mexico City, Mexico",
Men,,HEAT,4,5,José Garcia Venezuela (,,11.56,,,"Mexico City, Mexico",
Men,,HEAT,5,1,Rodney Richard,USA,10.5 (10.73),,,"Mexico City, Mexico",
Men,,HEAT,5,2,Clive Bonas Simmons Venezuela (,,10.86,,,"Mexico City, Mexico",
Men,,HEAT,5,3,Keith Gardner Jamaica (,,10.89,,,"Mexico City, Mexico",
Men,,HEAT,5,4,Carlos Sierra Colomb ia (,,11.61,,,"Mexico City, Mexico",
Men,,HEAT,6,1,José Telles da Conciecao,Brazil,10.7 (11.06),,,"Mexico City, Mexico",
Men,,HEAT,6,2,Luis Soriano,Dominican Republic,11.0 (11.22),,,"Mexico City, Mexico",
Men,,HEAT,6,3,Eduardo Basilio Rios,Argentina,11.0 (11.31),,,"Mexico City, Mexico",
Men,,HEAT,6,4,Antonio Rodriguez Zuezada Mexico (,,11.53,,,"Mexico City, Mexico",
Men,,HEAT,1,1,Dean Smith,USA,10.4 (10.65),,,"Mexico City, Mexico",
Men,,HEAT,1,2,Rafael Fort ún Chacon,Cuba,10.6 (10.69),,,"Mexico City, Mexico",
Men,,HEAT,1,3,Harry Nelson,Canada,10.7 (10.87),,,"Mexico City, Mexico",
Men,,HEAT,1,4,Domingo Garcia Dominican Republic (,,11.05,,,"Mexico City, Mexico",
Men,,HEAT,1,5,Tom Robin son Bahamas (,,11.26,,,"Mexico City, Mexico",
Men,,HEAT,2,1,Willie Williams,USA,10.3 (10.53),,,"Mexico City, Mexico",
Men,,HEAT,2,2,Mike Agostini,Trinidad and Tobago,10.3 (10.54),,,"Mexico City, Mexico",
Men,,HEAT,2,3,Apolinar Solorzano Bustamante,Venezuela,10.7 (11.02),,,"Mexico City, Mexico",
Men,,HEAT,2,4,Bruce Springbett,Canada,10.8 (11.10),,,"Mexico City, Mexico",
Men,,HEAT,2,5,René Ahumad a Rodriguez Mexico (,,11.12,,,"Mexico City, Mexico",
Men,,HEAT,2,6,Raúl Zabala Rodriguez Argentina (,,11.53,,,"Mexico City, Mexico",
Men,,HEAT,3,1,Rodney Richard,USA,10.3 (10.44),,,"Mexico City, Mexico",
Men,,HEAT,3,2,Keith Gardner,Jamaica,10.5 (10.63),,,"Mexico City, Mexico",
Men,,HEAT,3,3,Clive Bonas Simmons,Venezuela,10.5 (10.75),,,"Mexico City, Mexico",
Men,,HEAT,3,4,José Telles da Conciecao Brazil (,,10.76,,,"Mexico City, Mexico",
Men,,HEAT,3,5,Eduardo Bas ilio Rios Argentina (,,11.05,,,"Mexico City, Mexico",
Men,,HEAT,3,6,Luis Soriano Dominican Republic (,,11.17,,,"Mexico City, Mexico",
Men,100 METRES,FINAL,,1,Rodney Richard,USA,10.3,,14 Mar,"Mexico City, Mexico",
Men,100 METRES,FINAL,,2,Mike Agostini,Trinidad and Tobago,10.4,,14 Mar,"Mexico City, Mexico",
Men,100 METRES,FINAL,,3,Willie Williams,USA,10.4,,14 Mar,"Mexico City, Mexico",
Men,100 METRES,FINAL,,4,Keith Gardner,Jamaica,10.5,,14 Mar,"Mexico City, Mexico",
Men,100 METRES,FINAL,,5,Rafael Fort ún Chacon,Cuba,10.6,,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,1,1,Charles Thomas,USA,22.3 (22.64),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,1,2,Eligio Rivas,Dominican Republic,22.7 (22.97),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,1,3,Juan Alberto Goya,Mexico,23.4 (23.47),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,2,1,José Telles da Conciecao,Brazil,21.2 (21.35),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,2,2,Tom Robinson,Bahamas,22.5 (22.81),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,2,3,Alexis Bloem,Netherland Antilles,22.5 (22.86),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,3,1,Apolinar Sol órzano Bustamante,Venezuela,21.8 (22.05),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,3,2,Bruce Springbett,Canada,22.6 (22.78),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,3,3,Willie Williams,USA,22.8 (22.80),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,3,4,Domingo Garcia,Dominican Republic,23.0 (23.13),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,4,1,Allan Moore,Jamaica,22.3 (22.58),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,4,2,Jose Tenreyro,Mexico,22.5 (22.74),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,4,3,Jose Garcia,Venezuela,23.0 (23.54),,14 Mar,"Mexico City, Mexico",
Men,100 METRES,HEAT,5,1,Gerardo Bonnhoff,Argentina,21.5 (21.75),,14 Mar,"Mexico City, Mexico",
