gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (29 Jul ),,,,,"Winnipeg, Canada",
Men,,HEAT,1,1,Michael Fray,Jamaica,10.4 (10.47),,,"Winnipeg, Canada",
Men,,HEAT,1,2,Winston Short,Trinidad and Tobago,10.5 (10.59),,,"Winnipeg, Canada",
Men,,HEAT,1,3,Fernando Acevedo Portugues,Peru,10.6 (10.62),,,"Winnipeg, Canada",
Men,,HEAT,1,4,Lionel Urgan,Virgin Islands,10.8 (10.83),,,"Winnipeg, Canada",
Men,,HEAT,1,5,Jacobo Bucaram,Ecuador,10.8 (10.87),,,"Winnipeg, Canada",
Men,,HEAT,2,1,Willie Turner,USA,10.6 (10.62),,,"Winnipeg, Canada",
Men,,HEAT,2,2,Tom Robinson,Bahamas,10.7 (10.73),,,"Winnipeg, Canada",
Men,,HEAT,2,3,Pablo McNeil,Jamaica,10.8 (10.83),,,"Winnipeg, Canada",
Men,,HEAT,2,4,Ronald Monsegue Trinidad and Toba go,,10.8 (10.83),,,"Winnipeg, Canada",
Men,,HEAT,2,5,Jaime Uribe Gavira,Colombia,10.8 (10.89),,,"Winnipeg, Canada",
Men,,HEAT,2,6,Edmund Hearne,Canada,10.9 (10.96),,,"Winnipeg, Canada",
Men,,HEAT,3,1,Harry Jerome,Canada,10.4 (10.47),,,"Winnipeg, Canada",
Men,,HEAT,3,2,Hermes Ramirez Cajigal,Cuba,10.5 (10.55),,,"Winnipeg, Canada",
Men,,HEAT,3,3,Jorge Vizcarrondo Somohano,Puerto Rico,10.7 (10.73),,,"Winnipeg, Canada",
Men,,HEAT,3,4,Bernard Nottage,Bahamas,10.7 (10.75),,,"Winnipeg, Canada",
Men,,HEAT,3,5,Hernando Arrechea Serrano,Colombia,10.7 (10.78),,,"Winnipeg, Canada",
Men,,HEAT,3,6,Juan Hasegawa,Peru,11.0 (11.04),,,"Winnipeg, Canada",
Men,,HEAT,4,1,Jerry Bright,USA,10.6 (10.65),,,"Winnipeg, Canada",
Men,,HEAT,4,2,Iván Moreno,Chile,10.7 (10.76),,,"Winnipeg, Canada",
Men,,HEAT,4,3,Carl Plaskett,Virgin Islands,10.8 (10.85),,,"Winnipeg, Canada",
Men,,HEAT,4,4,Miguel Angel Gonzá lez,Mexico,10.8 (10.89),,,"Winnipeg, Canada",
Men,,HEAT,4,5,Enrique Montalvo,Puerto Rico,10.9 (10.96),,,"Winnipeg, Canada",
Men,,HEAT,1,1,Willie Turner,USA,10.3 (10.36),,,"Winnipeg, Canada",
Men,,HEAT,1,2,Hermes Ramirez Cajigal,Cuba,10.4 (10.44),,,"Winnipeg, Canada",
Men,,HEAT,1,3,Michael Fray,Jamaica,10.4 (10.44),,,"Winnipeg, Canada",
Men,,HEAT,1,4,Iván Moreno,Chile,10.4 (10.49),,,"Winnipeg, Canada",
Men,,HEAT,1,5,Bernard Nottage,Bahamas,10.5 (10.53),,,"Winnipeg, Canada",
Men,,HEAT,1,6,Fernando Acevedo Portugues,Peru,10.5 (10.59),,,"Winnipeg, Canada",
Men,,HEAT,1,7,Miguel Angel Gonzá lez,Mexico,10.6 (10.69),,,"Winnipeg, Canada",
Men,,HEAT,1,8,Carl Plaskett,Virgin Islands,10.7 (10.71),,,"Winnipeg, Canada",
Men,,HEAT,2,1,Harry Jerome,Canada,10.2 (10.25),,,"Winnipeg, Canada",
Men,,HEAT,2,2,Jerry Bright,USA,10.3 (10.35),,,"Winnipeg, Canada",
Men,,HEAT,2,3,Ronald Monsegue,Trinidad and Tobago,10.4 (10.44),,,"Winnipeg, Canada",
Men,,HEAT,2,4,Pablo McNeil,Jamaica,10.5 (10.55),,,"Winnipeg, Canada",
Men,,HEAT,2,5,Jorge Vizcarrondo Somohano,Puerto Rico,10.5 (10.56),,,"Winnipeg, Canada",
Men,,HEAT,2,6,Tom Robinson,Bahamas,10.7 (10.70),,,"Winnipeg, Canada",
