gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (7 Jul ),,,,,"San Juan, Puerto Rico",
Men,,HEAT,1,1,Silvio Leonard Sarria,Cuba,10.27,,,"San Juan, Puerto Rico",
Men,,HEAT,1,2,Nelson Rocha dos Santos,Brazil,10.39,,,"San Juan, Puerto Rico",
Men,,HEAT,1,3,Oliver Heywood,Jamaica,10.64,,,"San Juan, Puerto Rico",
Men,,HEAT,1,4,Marvin Nash,Canada,10.73,,,"San Juan, Puerto Rico",
Men,,HEAT,1,5,Edwin Noel,Trinidad and Tobago,10.75,,,"San Juan, Puerto Rico",
Men,,HEAT,1,6,Ronald Russell,Virgin Islands,11.25,,,"San Juan, Puerto Rico",
Men,,HEAT,2,1,Emmit King,USA,10.25,,,"San Juan, Puerto Rico",
Men,,HEAT,2,2,Desai Williams,Canada,10.44,,,"San Juan, Puerto Rico",
Men,,HEAT,2,3,Guy Abrahams,Panama,10.50,,,"San Juan, Puerto Rico",
Men,,HEAT,2,4,Gerardo Suero Correa,Dominican Republic,10.59,,,"San Juan, Puerto Rico",
Men,,HEAT,2,5,Richard Wilson,Jamaica,10.73,,,"San Juan, Puerto Rico",
Men,,HEAT,2,6,David Phillips,Barbados,10.91,,,"San Juan, Puerto Rico",
Men,,HEAT,2,7,Roberto McFarlane Mitchener,Costa Rica,11.11,,,"San Juan, Puerto Rico",
Men,,HEAT,3,1,Harvey Glance,USA,10.14,,,"San Juan, Puerto Rico",
Men,,HEAT,3,2,Rui da Silva,Brazil,10.38,,,"San Juan, Puerto Rico",
Men,,HEAT,3,3,Ephraim Serrete,Trinidad and Tobago,10.42,,,"San Juan, Puerto Rico",
Men,,HEAT,3,4,Jesús Cabrera Quinones,Puerto Rico,10.48,,,"San Juan, Puerto Rico",
Men,,HEAT,3,5,Wendell Powell Virgin Islan ds,,10.98,,,"San Juan, Puerto Rico",
Men,,HEAT,4,1,Osvaldo Lara Canizares,Cuba,10.45,,,"San Juan, Puerto Rico",
Men,,HEAT,4,2,Rawle Clarke,Barbados,10.54,,,"San Juan, Puerto Rico",
Men,,HEAT,4,3,Rudy Levarity,Bahamas,10.55,,,"San Juan, Puerto Rico",
Men,,HEAT,4,4,Dennis Trott,Bermuda,10.56,,,"San Juan, Puerto Rico",
Men,,HEAT,4,5,Rafael F élix L ópez,Dominican Republic,10.64,,,"San Juan, Puerto Rico",
