gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,100 METRES,HEAT,1,1,Nilson de Oliveira Andre,Brazil,10.33,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,1,2,David Lescay,Cuba,10.36,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,1,3,Oshane Bailey,Jamaica,10.41,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,1,4,Miguel L ópez,Puerto Rico,10.48,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,1,5,Rolando Palacios,Honduras,10.49,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,1,6,Kael Becerra,Chile,10.49,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,1,7,Linford Avila,Belize,11.74,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,2,1,Emmanuel Callender,Trinidad and Tobago,10.13,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,2,2,Calesio Newman,USA,10.30,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,2,3,Jamial Rolle,Bahamas,10.45,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,2,4,Franklin Nazareno,Ecuador,10.52,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,2,5,Adam Harris,Guyana,10.62,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,2,6,Jorge Alonzo,Mexico,10.78,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,3,1,Michael Herrera,Cuba,10.31,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,3,2,Harold Houston,Bermuda,10.40,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,3,3,Adrian Griffith,Bahamas,10.41,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,3,4,Monzavous Edwards,USA,10.53,,24 Oct,"Guadalajara, Mexico",
Men,100 METRES,HEAT,3,5,Darrel Brown,Trinidad and Tobago,10.63,,24 Oct,"Guadalajara, Mexico",
