gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (13 Oct ),,,,,"Mexico City, Mexico",
Men,,HEAT,1,1,Silvio Leonard Sarria,Cuba,10.41,,,"Mexico City, Mexico",
Men,,HEAT,1,2,Marvin Nash,Canada,10.62,,,"Mexico City, Mexico",
Men,,HEAT,1,3,Enrique Javier Almarante,Dominican Republic,10.65,,,"Mexico City, Mexico",
Men,,HEAT,1,4,Alfred Daley,Jamaica,10.79,,,"Mexico City, Mexico",
Men,,HEAT,1,5,Rudy Levarity,Bahamas,10.80,,,"Mexico City, Mexico",
Men,,HEAT,1,6,Miguel Verti,Mexico,11.01,,,"Mexico City, Mexico",
Men,,HEAT,1,7,Angel Guerreros,Paraguay,11.03,,,"Mexico City, Mexico",
Men,,HEAT,2,1,Hermes Ramirez Cajigal,Cuba,10.51,,,"Mexico City, Mexico",
Men,,HEAT,2,2,Walter Callender,Bahamas,10.81,,,"Mexico City, Mexico",
Men,,HEAT,2,3,Gustavo Dubarbier,Argentina,10.85,,,"Mexico City, Mexico",
Men,,HEAT,2,4,Edsel Nahr,Netherland Antilles,10.89,,,"Mexico City, Mexico",
Men,,HEAT,2,5,Ronald R ussell,Virgin Islands,10.90,,,"Mexico City, Mexico",
Men,,HEAT,2,6,Lionel Caero,Bolivia,11.31,,,"Mexico City, Mexico",
Men,,HEAT,3,1,Clancy Edwards,USA,10.52,,,"Mexico City, Mexico",
Men,,HEAT,3,2,Gregorio Garcia Aglon,Dominican Republic,10.64,,,"Mexico City, Mexico",
Men,,HEAT,3,3,Clifton Schultz,Guyana,10.72,,,"Mexico City, Mexico",
Men,,HEAT,3,4,Michael Sharpe,Bermuda,10.82,,,"Mexico City, Mexico",
Men,,HEAT,3,5,Philippe Etienne,Haiti,10.91,,,"Mexico City, Mexico",
Men,,HEAT,3,6,Siegfried Merced Regales,Netherland Antilles,10.98,,,"Mexico City, Mexico",
Men,,HEAT,4,1,Bill Collins,USA,10.42,,,"Mexico City, Mexico",
Men,,HEAT,4,2,Hasely Crawford,Trinidad and Tobago,10.49,,,"Mexico City, Mexico",
Men,,HEAT,4,3,Nelson Rocha dos Santos,Brazil,10.55,,,"Mexico City, Mexico",
Men,,HEAT,4,4,Hugh Fraser,Canada,10.56,,,"Mexico City, Mexico",
Men,,HEAT,4,5,Gregory Simons,Bermuda,10.83,,,"Mexico City, Mexico",
Men,,HEAT,4,6,Arturo Godoy,Mexico,10.86,,,"Mexico City, Mexico",
Men,,HEAT,5,1,James Gilkes,Guyana,10.35,,,"Mexico City, Mexico",
Men,,HEAT,5,2,Rui da Silva,Brazil,10.46,,,"Mexico City, Mexico",
