gender,event,round,heat,position,athlete_or_team,country,mark,status,date,location,members
Men,,,,100,METRES (28 Aug ),,,,,"Chicago, USA",
Men,,HEAT,1,1,Ray Norton,USA,10.6,,,"Chicago, USA",
Men,,HEAT,1,2,Clive Bonas Simmons,Venezuela,10.6,,,"Chicago, USA",
Men,,HEAT,1,3,Santiago Plaza,Mexico,10.7,,,"Chicago, USA",
Men,,HEAT,1,4,Enrique Figuerola Camue,Cuba,10.7,,,"Chicago, USA",
Men,,HEAT,1,5,Lynn Eves,Canada,10.8,,,"Chicago, USA",
Men,,HEAT,1,6,Heber Etche verry,Uruguay,10.8,,,"Chicago, USA",
Men,,HEAT,1,7,Ram ón Luis Vega Zayas,Puerto Rico,10.9,,,"Chicago, USA",
Men,,HEAT,2,1,Robert Poynter,USA,10.7,,,"Chicago, USA",
Men,,HEAT,2,2,José Telles da Conciecao,Brazil,10.9,,,"Chicago, USA",
Men,,HEAT,2,3,Wilton Jackson British West Indies -Trinidad,,10.9,,,"Chicago, USA",
Men,,HEAT,2,4,Harry Jerome,Canada,10.9,,,"Chicago, USA",
Men,,HEAT,2,5,Alberto Torres de la Motta,Dominican Republic,10.9,,,"Chicago, USA",
Men,,HEAT,2,6,José Carrera,Ecuador,,,,"Chicago, USA",
Men,,HEAT,2,7,Horacio Estevez Orihuela,Venezuela,,,,"Chicago, USA",
Men,,HEAT,3,1,Dennis Johnson British West Indies -,Jamaica,10.8,,,"Chicago, USA",
Men,,HEAT,3,2,Bill Woodhouse,USA,10.8,,,"Chicago, USA",
Men,,HEAT,3,3,Joao Pires So brinho,Brazil,10.9,,,"Chicago, USA",
Men,,HEAT,3,4,Rubén Diaz,Puerto Rico,10.9,,,"Chicago, USA",
Men,,HEAT,3,5,Lazaro Betancourt Mella,Cuba,11.0,,,"Chicago, USA",
Men,,HEAT,3,6,Lionel James Midi,Dominican Republic,,,,"Chicago, USA",
Men,,HEAT,3,7,George Short,Canada,11.2,,,"Chicago, USA",
Men,,HEAT,3,8,Arturo Isasmondi,Uruguay,,,,"Chicago, USA",
Men,,HEAT,4,1,Mike Agostini British West Indies -Trinidad,,10.8,,,"Chicago, USA",
Men,,HEAT,4,2,Rafael Romero Sandrea,Venezuela,10.8,,,"Chicago, USA",
Men,,HEAT,4,3,Manuel R ivera Guevara,Puerto Rico,10.9,,,"Chicago, USA",
Men,,HEAT,4,4,Luis Vienna,Argentina,10.9,,,"Chicago, USA",
Men,,HEAT,4,5,Jorge Machado de Barros,Brazil,10.9,,,"Chicago, USA",
Men,,HEAT,4,6,Salvador Rivas Perez,Dominican Republic,,,,"Chicago, USA",
Men,,HEAT,4,7,Gerardo di Tolla Barraza,Peru,,,,"Chicago, USA",
Men,,HEAT,4,8,Arturo Flores,Ecuador,,,,"Chicago, USA",
Men,,HEAT,1,1,Ray Norton,USA,10.2,,,"Chicago, USA",
Men,,HEAT,1,2,Mike Agostini British West Indies -Trinidad,,10.2,,,"Chicago, USA",
Men,,HEAT,1,3,Rafael Romero Sandrea,Venezuela,10.3,,,"Chicago, USA",
Men,,HEAT,1,4,Santiago Plaza,Mexico,10.5,,,"Chicago, USA",
Men,,HEAT,1,5,Manuel Rivera Guevara,Puerto Rico,10.5,,,"Chicago, USA",
